	pmid	Title	Abstract
11	35939933	Organochlorine contaminants in Rio skate (Rioraja agassizii), an endangered batoid species, from southeastern coast of Brazil.	A global movement towards decreases in elasmobranch overfishing has been noted in the last decades. However, discussion concerning the effects of POP contamination on the health and survival of these organisms is still recent. These compounds can affect the immune and endocrine systems of both sharks and batoids, impairing reproduction and impacting species recruitment, acting synergistically alongside overfishing effects. In this context, this study investigated the concentration of organochlorine compounds in liver of 29 individuals of Rioraja agassizii, a commercially exploited skate classified as Vulnerable by IUCN and as Endangered in Brazil. Contaminant concentrations were higher in adults compared to juveniles. Distinct contamination profiles were observed, suggesting different groups within the investigated population and revealing contaminants as a potential tool to assess population ecology. PCB levels were considered a concern as they resemble concentrations in ecosystems from the northern hemisphere, where deleterious effects on elasmobranchs have been observed.
12	35901124	Nearshore marine biodiversity of Osa Peninsula, Costa Rica: Where the ocean meets the rainforest.	Osa Peninsula in remote southwest Costa Rica harbors 2.5% of global terrestrial biodiversity in only 1,200 km2 and has the largest remaining tract of Pacific lowland wet forest in Mesoamerica. However, little is known about the marine ecosystems of this diverse region. Much of the coastline consists of soft sediment exposed to strong wave action. Three major hard bottom habitat types define this region, including: 1) coral reefs around Isla del Caño Biological Reserve, a no-take marine protected area (MPA) of 52 km2, 2) coastal rocky reefs and islets along the peninsula, including Corcovado National Park, and 3) submerged pinnacles just outside the Isla del Caño MPA. Average coral cover at Isla del Caño was 21%, composed primarily of Porites lobata and Pocillopora elegans. In contrast, coastal rocky reefs were dominated by turf algae (39.8%) and macroalgae (20.7%) with low coral cover (1.1%). Submerged pinnacles were dominated by crustose coralline algae (33.3%) and erect coralline algae (25.7%). Fish assemblage characteristics (species richness, abundance, biomass) were significantly higher at the pinnacles compared to the other habitats and was dominated by schooling species such as Haemulon steindachneri, and the herbivores Kyphosus ocyurus, and Acanthurus xanthopterus. Top predators, primarily Triaenodon obesus, Caranx sexfasciatus, and Lutjanus argentimaculatus, were also most abundant at these pinnacles and accounted for the largest differences in fish trophic structure among habitats. Despite Isla del Caño being fully protected from fishing, biomass was similar to fished areas along the coast and lower than the adjacent submerged pinnacles outside the reserve. Similarly, Corcovado National Park includes 20.3 km2 of no-take MPAs; however, there is limited enforcement, and we noted several instances of fishing within the park. The unique configuration of healthy offshore coral reefs and pinnacles connected to coastal habitats provides corridors for many species including large predators such as sharks and other marine megafauna, which warrants additional protection.
13	35845375	Distribution and population structure of the smooth-hound shark, Mustelus mustelus (Linnaeus, 1758), across an oceanic archipelago: Combining several data sources to promote conservation.	Sharks play a key role in the structure and functioning of marine ecosystems. More ecological information is essential to implement responsible management and conservation actions on this fauna, particularly at a regional level for threatened species. 
14	35838789	Osmorespiratory compromise in an elasmobranch: oxygen consumption, ventilation and nitrogen metabolism during recovery from exhaustive exercise in dogfish sharks (Squalus suckleyi).	The functional trade-off between respiratory gas exchange versus osmolyte and water balance that occurs at the thin, highly vascularized gills of fishes has been termed the osmorespiratory compromise. Increases in gas exchange capacity for meeting elevated oxygen demands can end up favoring the passive movement of osmolytes and water, potentially causing a disturbance in osmotic balance. This phenomenon has been studied only sparsely in marine elasmobranchs. Our goal was to evaluate the effects of exhaustive exercise (as a modulator of oxygen demand) on oxygen consumption (MO
15	35835271	Effect of body size, feeding ecology and maternal transfer on mercury accumulation of vulnerable silky shark Carcharhinus falciformis in the eastern tropical pacific.	"The silky shark Carcharhinus falciformis is a large pelagic species distributed in the global oceans and was recently listed as ""Vulnerable"" by the IUCN because of its decline in population due to overfishing. As an apex predator, the silky shark can accumulate elevated quantities of mercury (Hg), posing a potential risk to its remaining population. In this study, total Hg (THg) concentrations were determined in silky shark muscle, liver, dermis, red blood cells (RBC) and plasma sampled from the eastern tropical Pacific, and δ"
16	35794151	The Australian Shark-Incident Database for quantifying temporal and spatial patterns of shark-human conflict.	We describe the Australian Shark-Incident Database, formerly known as the Australian Shark-Attack File, which contains comprehensive reports of 1,196 shark bites that have occurred in Australia over 231 years (1791-2022). Data were collated by the Taronga Conservation Society Australia using purpose-designed questionnaires provided to shark-bite victims or witnesses, media reports, and information provided by the department responsible for fisheries in each Australian state (including the Northern Territory). The dataset includes provoked and unprovoked bites from fresh, brackish, and marine waters in Australia. Data span 22 suspected shark species. This dataset will be publicly available, and can be used by analysts to decipher environmental, biological, and social patterns of shark bites in Australia. The information will aid scientists, conservationists, authorities, and members of the public to make informed decisions when implementing or selecting mitigation measures.
17	35765842	Decoding the dynamics of dental distributions: insights from shark demography and dispersal.	Shark teeth are one of the most abundant vertebrate fossils, and because tooth size generally correlates with body size, their accumulations document the size structure of populations. Understanding how ecological and environmental processes influence size structure, and how this extends to influence these dental distributions, may offer a window into the ecological and environmental dynamics of past and present shark populations. Here, we examine the dental distributions of sand tigers, including extant 
18	35758578	DIAGNOSIS AND MANAGEMENT OF SUSPECTED CONGESTIVE HEART FAILURE SECONDARY TO DILATED CARDIOMYOPATHY IN A SAND TIGER SHARK (CARCHARIAS TAURUS) WITH ESTABLISHMENT OF PRELIMINARY NORMAL ECHOCARDIOGRAPHIC INDICES.	Elasmobranch cardiac anatomy and physiology has been well described; however, there is a dearth of information regarding cardiac disease. In support of a clinical case of suspected congestive heart failure in a 22-yr-old male sand tiger shark (
19	35737589	Lipid extraction has tissue-dependent effects on isotopic values (δ<sup>34</sup> S, δ<sup>13</sup> C, and δ<sup>15</sup> N) from different marine predators.	"RATIONALE: The use of sulfur isotopes to study trophic ecology in marine ecosystems has increased in the past decade. Unlike other commonly used isotopes (e.g., carbon), sulfur can better discriminate benthic and pelagic productivity. However, how lipid extraction affects sulfur isotopic values has not been assessed, despite its frequent use to remove lipid effects on δ
METHODS: We used white muscle and liver samples from two species of sharks and skin samples from two species of pinnipeds (sea lion and fur seal) to assess the effects of lipid extraction on stable isotope values for δ
RESULTS: Lipid extraction significantly decreased δ
CONCLUSIONS: Lipid extraction did not have a strong impact on δ"
20	35718810	Bulk and amino acid nitrogen isotopes suggest shifting nitrogen balance of pregnant sharks across gestation.	Nitrogen isotope (δ
21	35687546	Using stable isotopes analysis to understand ontogenetic trophic variations of the scalloped hammerhead shark at the Galapagos Marine Reserve.	Changes in life-history requirements drive trophic variations, particularly in large marine predators. The life history of many shark species is still poorly known and understanding their dietary ontogeny is a challenging task, especially for highly migratory species. Stable isotope analysis has proven as a useful method for examining the foraging strategies of sharks and other marine predators. We assessed the foraging strategies and ontogenetic changes of scalloped hammerhead sharks, Sphyrna lewini, at Galapagos Marine Reserve (GMR), by analysing δ13C and δ15N signatures in different maturity stages. Our isotopic results suggest ontogenetic shifts in resource use between sub-adult and adult stages, but not between adult and juvenile stages. Carbon isotopic signatures found in the juvenile stage were enriched in contrast to sub-adults (~0.73‰) suggesting a combination of the maternal input and the use of coastal resources around the Galapagos Islands. Adult female sharks also showed enrichment in δ13C (~0.53‰) in comparison to sub-adult stages that suggest feeding in high primary productivity areas, such as the GMR. This study improves the understanding of the trophic ecology and ontogenetic changes of a highly migratory shark that moves across the protected and unprotected waters of the Eastern Tropical Pacific.
22	35665538	Status of Southeast Asia's marine sharks and rays.	In Southeast Asia, elasmobranchs are particularly threatened. We synthesized knowledge from the peer-reviewed and gray literature on elasmobranchs in the region, including their fisheries, status, trade, biology, and management. We found that 59% of assessed species are threatened with extinction and 72.5% are in decline; rays were more threatened than sharks. Research and conservation is complicated by the socioeconomic contexts of the countries, geopolitical issues in the South China Sea, and the overcapacity and multispecies nature of fisheries that incidentally capture elasmobranchs. The general paucity of data, funds, personnel, and enforcement hinders management. Reduced capacity in the general fishery sector and marine protected areas of sufficient size (for elasmobranchs and local enforcement capabilities) are among recommendations to strengthen conservation.
23	35661942	Habitat-specific fish fauna responses to different management regimes in the largest coral reef complex in the South Atlantic.	"While marine protected areas (MPAs) are increasing worldwide, it is still needed to assess the effectiveness of those already consolidated. Methods and ecological assessments to understanding integrated and habitat-specific management regimes are still scarce and insufficient for policy implications and biodiversity conservation. Through Baited Remote Underwater Video (BRUV), we used fish assemblages as proxy of ecological and managerial status in two reef habitat types along three protection levels at Abrolhos Bank - the largest and most biodiverse coral reef complex of the South Atlantic. We found completely distinct responses in the fish fauna between the top (shallow) and bottom (deep) habitats of the unique ""chapeirões"" pinnacle reef formations. In the most protected zone (no-take), higher richness and abundance of commercial fish and more diverse trophic structure was observed. Particularly, large (sharks and groupers) and small carnivores (snappers) were more abundant and distributed more homogeneously over both reef habitats in the strictly enforced no-take zone. Abundance of these top-predators decreased from the low enforcement no-take zone to the multiple use area, where they were often absent while their typical preys (primary and secondary consumers) were thriving, notably in the top habitats. These outcomes highlight the importance to focus investigations not selectively on a single habitat type or depth zone in order to properly assess MPA effectiveness. Consequently, the monitoring and protection of fish species supported by marine spatial planning may benefit from an improved understanding of ecological functioning provided by MPA performance."
24	35661219	Serum protein electrophoresis reference intervals for six species of wild-sampled sharks in South Florida.	Serum proteins found in the blood have been used as diagnostic markers in both human and animal medicine. Evaluating proteins in the blood of sharks may be a valuable way to assess shark health. The purpose of this study was to perform serum protein electrophoresis from non-lethal blood samples of wild sharks and establish baseline values for six species off South Florida: blacknose (Carcharhinus acronotus), blacktip (Carcharhinus limbatus), bull (Carcharhinus leucas), lemon (Negaprion brevirostris), sandbar (Carcharhinus plumbeus), and tiger shark (Galeocerdo cuvier). Two hundred and fifty-one serum samples were collected between 2015-2018 along with sex determination and morphometric measurements. Agarose gel analysis was performed using mammalian protein fraction delimits albumin, alpha 1-globulins, alpha 2-globulins, beta globulins, and gamma globulins alternatively defined as fractions 1-5. Reference electrophoretic profiles were established for each species, revealing the dominance of protein fractions 3 and 4. The fraction 3:4 ratio was determined for each shark and reference intervals for total solids, protein fractions, and fraction 3:4 ratio are reported for each species. There were no significant differences in total solids or protein fractions between males and females of any species. In both blacktip sharks and bull sharks, total solids was positively correlated with body size, but not in the other species evaluated. In blacknose sharks, the fraction 3:4 ratio was positively correlated with body condition. Results suggest that there may be differences in total solids values across dry and wet seasons for some species. Newly established reference intervals can now be utilized in future research to evaluate the health of captive sharks and to investigate the health status of individuals in the wild as well as relate health measures to environmental conditions.
25	35642363	Extensive polyploid clonality was a successful strategy for seagrass to expand into a newly submerged environment.	Polyploidy has the potential to allow organisms to outcompete their diploid progenitor(s) and occupy new environments. Shark Bay, Western Australia, is a World Heritage Area dominated by temperate seagrass meadows including Poseidon's ribbon weed, 
26	35638311	Citizen science reveals the population structure and seasonal presence of whale sharks in the Gulf of Thailand.	The whale shark Rhincodon typus is a broadly distributed and highly mobile planktivorous shark species. The sharks form predictable aggregations in many areas, providing the opportunity for cost-effective scientific monitoring through divers and other marine resource users. Sightings of individuals outside of these aggregate zones elsewhere in their range are typically rare. We used a citizen science-based approach to shed light on occurrence and seasonality in the waters around Koh Tao, Thailand and neighbouring islands in the Gulf of Thailand. Although there is a paucity of quantitative data, anecdotal reports suggest substantial declines in sightings in the early 2000s. We identified a total of 178 individual whale sharks (from 249 sightings) between 2004 and 2019, with most of these (84%) from the 2015-2019 time period due to an increase in sighting reports facilitated by social media and direct marketing. Size estimates were reported for 102 of the sightings, with a range of 2-6 m and mean of 3.7 m overall. Sex was reported for 27% of sightings, with a 2:1 female-to-male ratio. Modified maximum likelihood methods suggest whale sharks are transient to Koh Tao and surrounding areas, with whale shark sightings following the regional monsoon cycle. One international resighting was obtained from Malaysian waters (~700 km away). Encouraging citizen science participation is particularly useful in data-poor regions like the Gulf of Thailand, despite limitations in size and sex estimation reliability, which can play an important complementary role in dedicated research programs.
27	35607969	Observations of a species-record deep dive by a central Pacific female scalloped hammerhead shark (Sphyrna lewini).	A female scalloped hammerhead shark (Sphyrna lewini) conducted a species record deep dive to 1240 m in coastal-pelagic waters off Hawaii Island. This extends the deepest known depth range of the species by over 200 m (650 ft) and highlights the question of the extent to which deep-diving activity is mediated by physiological constraints, such as temperature and oxygen availability.
28	35606841	Microbiome differences between wild and aquarium whitespotted eagle rays (Aetobatus narinari).	"BACKGROUND: Animal-associated microbiomes can be influenced by both host and environmental factors. Comparing wild animals to those in zoos or aquariums can help disentangle the effects of host versus environmental factors, while also testing whether managed conditions foster a 'natural' host microbiome. Focusing on an endangered elasmobranch species-the whitespotted eagle ray Aetobatus narinari-we compared the skin, gill, and cloaca microbiomes of wild individuals to those at Georgia Aquarium. Whitespotted eagle ray microbiomes from Georgia Aquarium were also compared to those of cownose rays (Rhinoptera bonasus) in the same exhibit, allowing us to explore the effect of host identity on the ray microbiome.
RESULTS: Long-term veterinary monitoring indicated that the rays in managed care did not have a history of disease and maintained health parameters consistent with those of wild individuals, with one exception. Aquarium whitespotted eagle rays were regularly treated to control parasite loads, but the effects on animal health were subclinical. Microbiome α- and β-diversity differed between wild versus aquarium whitespotted eagle rays at all body sites, with α-diversity significantly higher in wild individuals. β-diversity differences in wild versus aquarium whitespotted eagle rays were greater for skin and gill microbiomes compared to those of the cloaca. At each body site, we also detected microbial taxa shared between wild and aquarium eagle rays. Additionally, the cloaca, skin, and gill microbiomes of aquarium eagle rays differed from those of cownose rays in the same exhibit. Potentially pathogenic bacteria were at low abundance in all wild and aquarium rays.
CONCLUSION: For whitespotted eagle rays, managed care was associated with a microbiome differing significantly from that of wild individuals. These differences were not absolute, as the microbiome of aquarium rays shared members with that of wild counterparts and was distinct from that of a cohabitating ray species. Eagle rays under managed care appear healthy, suggesting that their microbiomes are not associated with compromised host health. However, the ray microbiome is dynamic, differing with both environmental factors and host identity. Monitoring of aquarium ray microbiomes over time may identify taxonomic patterns that co-vary with host health."
29	35591772	Delineation of blacktip shark (Carcharhinus limbatus) nursery habitats in the north-western Gulf of Mexico.	Coevolution with predators leads to the use of low-risk habitats by many prey species, which promotes survival during early developmental phases. These nurseries are valued by conservation and management agencies because of their contributions to adult populations. However, the physical and geographic characteristics, like shallow depths and isolation from other marine habitats, that restrict access to predators and thereby reduce risk to juvenile animals can also limit scientific research. Consequently, many nursery habitats are still unidentified and understudied. Here we used gillnet monitoring from 1982 to 2018 to delineate blacktip shark (Carcharhinus limbatus) nurseries in the north-western Gulf of Mexico and elucidated their physical, environmental and biological characteristics. Nursery habitats within estuaries (<2% of spatial area) were proximate to the Gulf of Mexico and exhibited significantly lower variability in salinity than non-nurseries. However, relative abundances of predators and prey were not significant delineators of nursery habitats. As such, food and risk may not influence juvenile blacktip habitat use as expected. Alternatively, reduced osmoregulatory stress attributed to predictable environments likely provides advantageous conditions for blacktips to develop foraging and antipredator tactics, which is vital prior to the winter migration of juvenile sharks into the Gulf of Mexico.
30	35536602	An epithelial signalling centre in sharks supports homology of tooth morphogenesis in vertebrates.	Development of tooth shape is regulated by the enamel knot signalling centre, at least in mammals. Fgf signalling regulates differential proliferation between the enamel knot and adjacent dental epithelia during tooth development, leading to formation of the dental cusp. The presence of an enamel knot in non-mammalian vertebrates is debated given differences in signalling. Here, we show the conservation and restriction of 
31	35533277	Global collision-risk hotspots of marine traffic and the world's largest fish, the whale shark.	Marine traffic is increasing globally yet collisions with endangered megafauna such as whales, sea turtles, and planktivorous sharks go largely undetected or unreported. Collisions leading to mortality can have population-level consequences for endangered species. Hence, identifying simultaneous space use of megafauna and shipping throughout ranges may reveal as-yet-unknown spatial targets requiring conservation. However, global studies tracking megafauna and shipping occurrences are lacking. Here we combine satellite-tracked movements of the whale shark, Rhincodon typus, and vessel activity to show that 92% of sharks’ horizontal space use and nearly 50% of vertical space use overlap with persistent large vessel (>300 gross tons) traffic. Collision-risk estimates correlated with reported whale shark mortality from ship strikes, indicating higher mortality in areas with greatest overlap. Hotspots of potential collision risk were evident in all major oceans, predominantly from overlap with cargo and tanker vessels, and were concentrated in gulf regions, where dense traffic co-occurred with seasonal shark movements. Nearly a third of whale shark hotspots overlapped with the highest collision-risk areas, with the last known locations of tracked sharks coinciding with busier shipping routes more often than expected. Depth-recording tags provided evidence for sinking, likely dead, whale sharks, suggesting substantial “cryptic” lethal ship strikes are possible, which could explain why whale shark population declines continue despite international protection and low fishing-induced mortality. Mitigation measures to reduce ship-strike risk should be considered to conserve this species and other ocean giants that are likely experiencing similar impacts from growing global vessel traffic.
32	35475478	Market surveys and social media provide confirmation of the endangered giant freshwater whipray Urogymnus polylepis in Myanmar.	The giant freshwater whipray Urogymnus polylepis is a threatened species that is vulnerable to riverine and coastal marine pressures. Despite its threatened status, the range of U. polylepis is still being determined. In this study, photographic evidence of U. polylepis in Myanmar was provided through market surveys (2017-2018) and social media (Sharks and Rays of Rakhine Facebook page, 2021). Urogymnus polylepis is exposed to fisheries and habitat degradation pressures in Myanmar; therefore, conservation management is likely needed to ensure populations persist into the future.
