	tweet	hashtags
70	Apple $AAPL steps up big time on #decarbonization of its global #supplychain. How are their products with the #CircularEconomy?  gqiwTAdQCf	['decarbonization', 'supplychain', 'circulareconomy']
71	Recycling rates for Construction and Demolition (C&amp;D) waste could be improved by enhanced segregation of C&amp;D waste into individual material streams, either at source or at waste processing facilities.  Read the data release:  qanS3PNvKK  #Waste #CircularEconomy  nr5MycarrZ	['waste', 'circulareconomy']
72	Kenyans doing extraordinary things 🥰. From Gunias to Fuel. Blown away how three cousins conceptualised and implemented state of the art project now recycling tonnes of gunias into fuel 😲 #Widu #GreenGrant  #circulareconomy #waste as a #resource  rCtY9ZbmK4	['widu', 'greengrant', 'circulareconomy', 'waste', 'resource']
73	Aardvarks are classified as a species of Least Concern on the International Union for Conservation of Nature (IUCN) Red List of Threatened Species, despite the fact the total population of aardvarks is not known as they are rarely seen due to their nocturnal and secretive habits.	[]
74	Looking to make #circulareconomy-informed design decisions for construction?  Learn about the carbon impact of building materials with the with the new @bcit Whole-Building Life Cycle Assessment Professional microcredential!   Read more:  8mb7zy1isO  DQkNKBRyq9	['circulareconomy']
75	beauty of a morning. #wastemanagement #themammoth  XySiIByD0u	['wastemanagement', 'themammoth']
76	🧃♻️Wondering what is the current state of #depositreturnscheme implementation among European countries? Find out in our article!  B0JJiJgsTQ  #depositreturnsystem #drs #recycling #circulareconomy #packaging #beverages  0TQTj0K5Sh	['depositreturnscheme', 'depositreturnsystem', 'drs', 'recycling', 'circulareconomy', 'packaging', 'beverages']
77	In our series Next Gen Project Managers, Elena Rocco presents @Iceberg_EU. This H2020 project aims at developing innovative #circulareconomy-based solutions for the efficient recovery of raw materials from buildings ▶️  3Mf9bgnQpZ  #MakeItRINA	['circulareconomy', 'makeitrina']
78	@hunain_mahmood @IUCN_Gender @IUCN There is greater need to address how climate change would further increase gender disparity and women's vulnerability due to it.	[]
79	And enormous congratulations are in order for the new collaboration and pledge of support between @JumuiyaBloc and @EUinKenya ! #BeatPlasticPollution    Xx7yJYQh3c	['beatplasticpollution']
80	Published in a special issue of @IUCN_CEESP's Policy Matters, this article explores the #gender-differentiated forms of violence faced by environmental #HumanRights defenders &amp; highlights the need for addressing their situation from a gendered perspective:  LYaHdukklR  BOJdJQcIns	['gender', 'humanrights']
81	@byadavbjp sir our domestic cat maybe not present in iucn list so please do something	[]
82	Perfectly posed in Papillonkia @bellastovey 📸  #Papillonkia  #CircularEconomy #prreqeust   pIllLvvZBt  haolT9J5Qq	['papillonkia', 'circulareconomy', 'prreqeust']
83	📆 Next week: International Conference on Sustainable Coffee! ✨ Michael Opitz and Stefan Dierks will present how the project “Back to the Roots” builds a #circulareconomy and promotes #climate protection in the #coffee #valuechain. ♻️ #Register:  WDGFBCs1Lx  0s4Ml9ag4c	['circulareconomy', 'climate', 'coffee', 'valuechain', 'register']
84	Governments should take the opportunity to address the biodiversity loss &amp; #ClimateChange crises by explicitly recognising the role &amp; contribution of Nature-based Solutions in #COP27 and #COP15.  See our #IUCNLeadersForum outcomes for more recommendations  TYcTadwG6O  hZRowvEbgJ	['climatechange', 'cop27', 'cop15', 'iucnleadersforum']
85	Pennzoil seeks wider recycling involvement   teXikyYsZ5    #sustainability #lubricants #recycling #circulareconomy #packaging #plastic #waste #EPR	['sustainability', 'lubricants', 'recycling', 'circulareconomy', 'packaging', 'plastic', 'waste', 'epr']
86	It doesn’t matter what your waste management need is, Step Up Disposals has the solutions that you need. Contact us today. You won’t be disappointed.  #stepupdisposals #trashtalk #santitation #trashservices #stepup #wastemanagement #fortcollins #berthoud #loveland #solutions  5kWqEGcyBd	['stepupdisposals', 'trashtalk', 'santitation', 'trashservices', 'stepup', 'wastemanagement', 'fortcollins', 'berthoud', 'loveland', 'solutions']
87	Wheelie bins for sale. Refurbished, repaired &amp; clean. More environmentally friendly, cheaper, quicker delivery than other suppliers.  #depositreturnscheme #bins #recycledmaterials #zerowaste #wastemanagement #scotland #DepositReturn #uk #circulareconomy #recycle #council  AuoeCXogKX	['depositreturnscheme', 'bins', 'recycledmaterials', 'zerowaste', 'wastemanagement', 'scotland', 'depositreturn', 'uk', 'circulareconomy', 'recycle', 'council']
88	"Impressions from ""THE Congress -#NATURALfiberEXTRACTION"", organised by #AFBW and #DITF: Prof. Dr. Ralf Kindervater, CEO of  @BIOPRO_BW, highlighted the importance of 🔗 #bioeconomy with #circulareconomy, also regarding natural fibres 🪢. And Alexander Möndel visited our booth😀.  ISq5d4qzR1"	['naturalfiberextraction', 'afbw', 'ditf', 'bioeconomy', 'circulareconomy']
89	#SpazioVerde #Ecomondo #Ecomondo22 #IEGexpo #ambiente #circulareconomy #leadingtheecologicaltransition  MdUsqWWJgV	['spazioverde', 'ecomondo', 'ecomondo22', 'iegexpo', 'ambiente', 'circulareconomy', 'leadingtheecologicaltransition']
90	What Do We Do with 100,000 Tons of Organic Waste? Do we throw away the waste? No, they will be the fuel for our investments.  nX2gNxHz6e #organicwaste #waste #circulareconomy #renewableenergy #compost #biofertilitzants  M4f3jco3Dc	['organicwaste', 'waste', 'circulareconomy', 'renewableenergy', 'compost', 'biofertilitzants']
91	I've been with @EUinKenya at the #GoBlue campaign, and it has been incredible to have so much support and great energy for discussions and, of course, beach cleanup!  Together we can #BeatPlasticPollution @GoBlueKenya  pprPyLSvo5	['goblue', 'beatplasticpollution']
92	700+ tech companies in Israel are developing  climate-Tech solutions to include environmentally friendly agriculture &amp; food processes, #circulareconomy, clean energy, green transportation, sustainable manufacturing, nature protection, and more #SDG #SDG13  QIviG311rD  QDQUcasceS	['circulareconomy', 'sdg', 'sdg13']
93	Reuse plays a critical role in the #circulareconomy. At #TheReusies this year, 7 #reuse trailblazers were recognized for their work across sectors. Learn more:  gXpowrceWh	['circulareconomy', 'thereusies', 'reuse']
94	Happy to see ChopValue come to #Boston! Congratulations Elaine Chow and her excellent team! I’ve been following @FelixBock since the beginning of this venture, and thrilled with its impact #circulareconomy #recycle #repurpose #keepbamboostrong #bambooisgr… 2wj20N7FDH	['boston', 'circulareconomy', 'recycle', 'repurpose', 'keepbamboostrong', 'bambooisgr']
95	Episode 2 of Engineering Circularity is out now on Soundcloud! Find the Podcast at  Iby2G2kUze This episode discusses the circular economy, its benefits, and challenges that stand in our way as we look to become more circular. Tune in to learn more! #circulareconomy	['circulareconomy']
96	One more reason to reduce our #PlasticWaste!	['plasticwaste']
97	Associate Prof. of Sustainable Consumption @AaltoBIZ and @AaltoARTS @MikkoJalas talked about co-innovating for circular solutions, and about the changes in the rythms of the society that are needed to shape a sustainable future. #installationtalks #Sustainability #Circulareconomy  cGbF4QZH1G	['installationtalks', 'sustainability', 'circulareconomy']
98	"""Repairing, remanufacturing, and refurbishing high value metal components are crucial to move towards a more sustainable economy."" Find out more below:  #remanufacturing #sustainability #circulareconomy   u347L35Xmv"	['remanufacturing', 'sustainability', 'circulareconomy']
99	How does USAID work to prevent #oceanplastic pollution &amp; build a #circulareconomy under the Save Our Seas Initiative? See our 5 building blocks thread  XphJvRPyv0 1/6	['oceanplastic', 'circulareconomy']
100	"Die Rohstoffe unserer Erde sind begrenzt. Utz setzt seit langem auf ""Circular Economy”. Erfahren Sie mehr über unser Ressourcen-Konzept der Zukunft.  y71nNuJsOE #75yearsutz #challenges #utzgroup #ressources #circulareconomy #reuse  9VICxhw76O"	['75yearsutz', 'challenges', 'utzgroup', 'ressources', 'circulareconomy', 'reuse']
101	13 participants completed a 4-day Red List Training, becoming a cruicial piece of the conservation puzzle. Working groups for new taxa assessments will be made among these participant and experts.  @USAIDMaldives @IUCN_Maldives  m2al9SC8ow	[]
102	Nah, dari thread di atas kamu udah aplikasiin inovasi ecobrick ini belom?  Kalo udah, berapa banyak ecobrick yang udah kamu kumpulin?  #siapdarling #ecobrick #wastemanagement  FOTT8tSqXc	['siapdarling', 'ecobrick', 'wastemanagement']
103	Fyi, ecobrick pertama kali ditemukan oleh Rusel Maier yang merupakan seorang warga negara Kanada, juga merupakan seorang seniman yang bekerja di Indonesia.  #siapdarling #ecobrick #wastemanagement	['siapdarling', 'ecobrick', 'wastemanagement']
104	Kamu bisa sebutin lagi gak contoh barang yang berbahan dasar ecobrick?  #siapdarling #ecobrick #wastemanagement	['siapdarling', 'ecobrick', 'wastemanagement']
105	2/ It is a #Blockchain⛓open #Metaverse🌐with a #circulareconomy based on real monetary flow🤑💸💰simple #games interactions 🕹🃏🎲 and extraordinary visual designs🔝😎. Once in, #avatars will be induced to #interact🫱🏻‍🫲🏿👨🏼‍💻💯fostering #online-based #social engagements 👀🤩.	['blockchain', 'metaverse', 'circulareconomy', 'games', 'avatars', 'interact', 'online', 'social']
106	@ginfluenced_ Oder einfach keine nutzen #recyclingtipp #noplastic 🙃	['recyclingtipp', 'noplastic']
107	"""How is #circulareconomy #climatechange and #OpenData linked together?"" @nataliamanola  #OpenForClimateJustice #OAWeek2022  LSGn8txQpF"	['circulareconomy', 'climatechange', 'opendata', 'openforclimatejustice', 'oaweek2022']
108	Countries around the globe continue to generate large amounts of waste as their populations grow and their economies expand.  Join our cause:  YlmXrkurNf   #Youthoppia #Youth #climatechange #wastemanagement #recycle #entrepreneur  #Africa  ZpKpK2XNSC	['youthoppia', 'youth', 'climatechange', 'wastemanagement', 'recycle', 'entrepreneur', 'africa']
109	Are you managing your #trash wisely? Ask yourself if you are #MakingADifference?  #waste #Wastemanagement #zerowasteliving #manageyourwaste #changemakers #makeadifferencetoday  #makingadifference #makeadifference2022  #MakeADifferenceDay #MakeADifference  lSPU4Dy8Fa	['trash', 'makingadifference', 'waste', 'wastemanagement', 'zerowasteliving', 'manageyourwaste', 'changemakers', 'makeadifferencetoday', 'makingadifference', 'makeadifference2022', 'makeadifferenceday', 'makeadifference']
110	Compania CALDOR INDUSTRIAL este prezentă la cel mai mare eveniment dedicat maselor plastice și cauciucului : „K International Trade Fair Plastics and Rubber” ediția 2022 la complexul expozițional Messe din Düsseldorf, Germania  #KTradefair #MesseDuesseldorf #circulareconomy♻️  BH9M3Hfzca	['ktradefair', 'messeduesseldorf', 'circulareconomy']
111	🇪🇬 In #Cairo, the nonprofit VeryNile, the women of al-Qursayah island and local fishermen are creating #CircularEconomy opportunities while giving a second life to the plastic found in the Nile.  It's our #SmartStory of the week 👇🏽  🗞️ @TheUrbanActivist    Kv8zsMXm4C	['cairo', 'circulareconomy', 'smartstory']
112	According to a new @greenpeaceusa report, only 5% of plastic waste generated by US households gets recycled. More US plastic waste is incinerated than is recycled, causing significant CO2 emissions.  f5TqB7DK4F @Erica__Nunez thoughts? We need to read this in detail.  051WMg6SC3	[]
