	pmid	Title	Abstract
12	36162290	Microplastic contamination and risk assessment in blue shark (Prionace glauca) from the eastern tropical Pacific Ocean.	We quantified the abundance and characteristics of microplastics in the blue shark, Prionace glauca, found in the eastern tropical Pacific Ocean and investigated the potential microplastic pollution risks. Microplastics (MPs) were detected in 39.1 % of specimens, up to 0.15 ± 0.38 items/g wet weight of the posterior part of the pylorus, and were sized 45.87 to 3220.12 μm. The majority were fibrous in shape (83.3 %) and blue in color (72.2 %). Both sexes of sharks had similar MP abundance and characteristics, except for polymers, with polyethylene terephthalate and polypropylene representing the dominant type in males and females, respectively. Most individuals experienced low pollution, but one male P. glauca exhibited a high ecological risk level owing to the high MP abundance and detection of polyvinyl chloride. This study provides an important baseline for the ingestion of microplastics by pelagic shark species and is a preliminary quantitative measure that could be used in future studies of the risk of MPs.
13	36156347	Salinity-driven ecology and diversity changes of heterocytous cyanobacteria in Australian freshwater and coastal-marine microbial mats.	N
14	36154243	Self-localization of buoyless fishing gear and other objects on the sea floor.	End lines used in commercial trap/pot fishing pose a significant entanglement risk to whales, sea turtles, and sharks. Removal of these ropes for buoyless fishing is being considered by the United States and Canadian governments, but a method to systematically locate the gear without an attached buoy is required. A method was developed for an acoustic modem to self-localize and broadcast its location to nearby ships to minimize gear conflict, optimize power consumption, and reduce lost gear. This method was implemented using a research modem that self-localized to within 5 m of its estimated location on the sea floor.
15	36151819	[Identification and functional characterization of circular RNAs in the liver of whitespotted bamboo shark (Chiloscyllium plagiosum)].	This study aims to identify the circular RNAs (circRNAs) in the liver of whitespotted bamboo shark (
16	36147936	A general swimming response in exhausted obligate swimming fish.	Marine organisms normally swim at elevated speeds relative to cruising speeds only during strenuous activity, such as predation or escape. We measured swimming speeds of 29 ram ventilating sharks from 10 species and of three Atlantic bluefin tunas immediately after exhaustive exercise (fighting a capture by hook-and-line) and unexpectedly found all individuals exhibited a uniform mechanical response, with swimming speed initially two times higher than the cruising speeds reached approximately 6 h later. We hypothesized that elevated swimming behaviour is a means to increase energetic demand and drive the removal of lactate accumulated during capture via oxidation. To explore this hypothesis, we estimated the mechanical work that must have been spent by an animal to elevate its swim speed and then showed that the amount of lactate that could have been oxidized to fuel it comprises a significant portion of the amount of lactate normally observed in fishes after exhaustive exercise. An estimate for the full energetic cost of the catch-and-release event ensued.
17	36146775	Phage Diving: An Exploration of the Carcharhinid Shark Epidermal Virome.	The epidermal microbiome is a critical element of marine organismal immunity, but the epidermal virome of marine organisms remains largely unexplored. The epidermis of sharks represents a unique viromic ecosystem. Sharks secrete a thin layer of mucus which harbors a diverse microbiome, while their hydrodynamic dermal denticles simultaneously repel environmental microbes. Here, we sampled the virome from the epidermis of three shark species in the family 
18	36142819	Screening and Characterization of Shark-Derived VNARs against SARS-CoV-2 Spike RBD Protein.	The receptor-binding domain (RBD) of the SARS-CoV-2 spike protein is the major target for antibody therapeutics. Shark-derived variable domains of new antigen receptors (VNARs) are the smallest antibody fragments with flexible paratopes that can recognize protein motifs inaccessible to classical antibodies. This study reported four VNARs binders (JM-2, JM-5, JM-17, and JM-18) isolated from 
19	36142266	The Nursehound Scyliorhinus stellaris Mitochondrial Genome-Phylogeny, Relationships among Scyliorhinidae and Variability in Waters of the Balearic Islands.	The complete mitochondrial DNA sequence of the Nursehound 
20	36135306	Ionogels Derived from Fluorinated Ionic Liquids to Enhance Aqueous Drug Solubility for Local Drug Administration.	Gelatin is a popular biopolymer for biomedical applications due to its harmless impact with a negligible inflammatory response in the host organism. Gelatin interacts with soluble molecules in aqueous media as ionic counterparts such as ionic liquids (ILs) to be used as cosolvents to generate the so-called Ionogels. The perfluorinated IL (FIL), 1-ethyl-3-methylpyridinium perfluorobutanesulfonate, has been selected as co-hydrosolvent for fish gelatin due to its low cytotoxicity and hydrophobicity aprotic polar structure to improve the drug aqueous solubility. A series of FIL/water emulsions with different FIL content and their corresponding shark gelatin/FIL Ionogel has been designed to enhance the drug solubility whilst retaining the mechanical structure and their nanostructure was probed by simultaneous SAXS/WAXS, FTIR and Raman spectroscopy, DSC and rheological experiments. Likewise, the FIL assisted the solubility of the antitumoural Doxorubicin whilst retaining the performing mechanical properties of the drug delivery system network for the drug storage as well as the local administration by a syringe. In addition, the different controlled release mechanisms of two different antitumoral such as Doxorubicin and Mithramycin from two different Ionogels formulations were compared to previous gelatin hydrogels which proved the key structure correlation required to attain specific therapeutic dosages.
21	36133957	Adding one more to the list: A new species of Eniochobothrium (Cestoda: Lecanicephalidea) from the Oman cownose ray in South Africa.	A new species of 
22	36130072	Genital mycobacteriosis caused by Mycobacterium marinum detected in two captive sharks by peptide nucleic acid-fluorescence in situ hybridization.	Mycobacterium marinum is a prevalent nontuberculous mycobacterium (NTM)-infecting teleosts. Conversely, little is known about mycobacteriosis in elasmobranchs, and M. marinum infection has never been reported from the subclass. This study investigated the histopathological characteristics and localization of this mycobacterium through molecular analysis of two captive sharks, a scalloped hammerhead Sphyrna lewini and a Japanese bullhead shark Heterodontus japonicus, exhibited in the same aquarium tank. We detected genital mycobacteriosis caused by M. marinum infection using molecular analyses, including polymerase chain reaction (PCR) and DNA sequencing targeting the 60 kDa heat-shock protein gene (hsp65), and peptide nucleic acid-fluorescence in situ hybridization (PNA-FISH) targeting the 16S rRNA gene. Both sharks showed granulomas in connective tissues of the gonads without central necrosis or surrounding fibrous capsules, which is unlike the typical mycobacterial granulomas seen in teleosts. This study reveals that elasmobranchs can be aquatic hosts of M. marinum. Because M. marinum is a representative waterborne NTM and a potential zoonotic agent, cautious and intensive research is needed to overcome a lack of data on the relationship between NTM and the aquatic environment in association with this subclass of Chondrichthyes.
23	36128705	Bioapatite in shark centra studied by wide-angle and by small-angle X-ray scattering.	Members of subclass Elasmobranchii possess cartilage skeletons; the centra of many species are mineralized with a bioapatite, but virtually nothing is known about the mineral's organization. This study employed high-energy, small-angle X-ray scattering (SAXS) and wide-angle X-ray scattering (WAXS, i.e. X-ray diffraction) to investigate the bioapatite crystallography within blocks cut from centra of four species (two carcharhiniform families, one lamniform family and 1-ID of the Advanced Photon Source). All species' crystallographic quantities closely matched and indicated a bioapatite closely related to that in bone. The centra's lattice parameters 
24	36124628	Temperature independence of haemoglobin-oxygen affinity in smalleye Pacific opah (Lampris incognitus) and swordfish (Xiphias gladius).	Smalleye Pacific opah and swordfish can conserve metabolic heat and maintain specific body regions warmer than ambient water temperature (i.e., regional heterothermy). Consequently, blood-O2 uptake at the gills occurs at the environmental temperature at which the individual is found, but O2 offloading will occur at different temperatures in different tissues. While several regionally heterothermic fishes (e.g., billfishes, tunas, and sharks) show a reduced temperature effect on haemoglobin (Hb)-O2 affinity, the temperature-dependence of Hb-O2 affinity in opah and swordfish is unknown. We hypothesized that the Hb of opah and swordfish would also show a reduced temperature-dependence. Opah whole blood-O2 affinity exhibited a reverse temperature-dependence above 50% Hb-O2 saturation (10-20°C, pH 7.2-8.0), while the temperature-dependence of swordfish blood-O2 affinity (10-25°C) was saturation and pH dependent, becoming temperature-independent below 50% Hb-O2 saturation and pH 7.4. Experiments on stripped haemolysates showed that adding ATP ([ATP]/[Hb]=30) decreased the temperature sensitivity of Hb-O2 affinity, changing the overall oxygenation enthalpy (ΔH') values of opah (10-20°C) and swordfish (10-25°C) Hbs at pH 7.4 from -15 and -42 kJ mol-1 O2, respectively, to +84 and -9 kJ mol-1 O2. Swordfish blood-O2 affinity was high compared to other large, pelagic, marine teleosts, which may be due to unusually low ATP/Hb levels, but might also enable swordfish to forage in the potentially low-oxygenated water of the upper reaches of the oxygen minimum layer. The existence of Hbs with reduced temperature sensitivity in regionally heterothermic fishes may prevent marked changes in Hb-O2 affinity between the cold and warm tissues.
25	36122931	Biological Restraints on Indefinite Survival.	Multiple observations that organismal life span can be extended by nutritional, genetic, or pharmacological intervention has raised the prospect of transforming medicine with the goal of slowing, stopping, or even reversing age-associated disease and maintaining or restoring health and resilience in the increasing numbers of elderly across the world. The potential for such an enterprise is supported in theory by plant and animal models of negligible senescence, most notably the small, freshwater organism 
26	36113883	Sharks Provide Evidence for a Highly Complex TNFSF Repertoire in the Jawed Vertebrate Ancestor.	"Cytokines of the TNF superfamily (TNFSF) control many immunological processes and are implicated in the etiology of many immune disorders and diseases. Despite their obvious biological importance, the TNFSF repertoires of many species remain poorly characterized. In this study, we perform detailed bioinformatic, phylogenetic, and syntenic analyses of five cartilaginous fish genomes to identify their TNFSF repertoires. Strikingly, we find that shark genomes harbor ∼30 TNFSF genes, more than any other vertebrate examined to date and substantially more than humans. This is due to better retention of the ancestral jawed vertebrate TNFSF repertoire than any other jawed vertebrate lineage, combined with lineage-specific gene family expansions. All human TNFSFs appear in shark genomes, except for lymphotoxin-α (LTA; TNFSF1) and TNF (TNFSF2), and CD70 (TNFSF7) and 4-1BBL (TNFSF9), which diverged by tandem duplications early in tetrapod and mammalian evolution, respectively. Although lacking one-to-one LTA and TNF orthologs, sharks have evolved lineage-specific clusters of LTA/TNF co-orthologs. Other key findings include the presence of two BAFF (TNFSF13B) genes along with orthologs of APRIL (TNFSF13) and BALM (TNFSF13C) in sharks, and that all cartilaginous fish genomes harbor an ∼400-million-year-old cluster of multiple FASLG (TNFSF6) orthologs. Finally, sharks have retained seven ancestral jawed vertebrate TNFSF genes lost in humans. Taken together, our data indicate that the jawed vertebrate ancestor possessed a much larger and diverse TNFSF repertoire than previously hypothesized and oppose the idea that the cartilaginous fish immune system is ""primitive"" compared with that of mammals."
27	36106014	Huffmanela selachii n. sp. (Nematoda: Trichosomoididae: Huffmanelinae): A new species infecting the skin of the great hammerhead shark (Sphyrna mokarran) and the blacktip reef shark (Carcharhinus melanopterus) in the Arabian Gulf, off-shore Saudi Arabia.	From January 2017 - December 2019, 75 out of 850 (8.8 %) great hammerhead sharks from the Arabian Gulf had skin lesions of black irregular discolorations on the ventral surface of the head. The lesions consisted of pencil-like lineations often advancing forward by about 2 mm in back-and-forth looped scribbles often forming a relatively linear bands of about 5-7 cm wide. Similar lesions were also found in the blacktip reef shark from the same area within the same period, and consisted of straight to irregular black lines, extended indiscriminately across the skin of the sharks. Microscopic examination of the skin revealed the presence of dark-brown eggs exhibiting the spindle or ellipsoidal eggs characteristic of 
28	36105597	Highlighting when animals expend excessive energy for travel using dynamic body acceleration.	Travel represents a major cost for many animals so there should be selection pressure for it to be efficient - at minimum cost. However, animals sometimes exceed minimum travel costs for reasons that must be correspondingly important. We use Dynamic Body Acceleration (DBA), an acceleration-based metric, as a proxy for movement-based power, in tandem with vertical velocity (rate of change in depth) in a shark (
29	36095997	Selective detection of starch in banana fruit with Raman spectroscopy.	To develop an analytical method for rapid quantification of starch in agricultural produce, we measured the Raman spectra of ripening banana fruit and compared the obtained data to those of standard starch, sugar, and fiber chemical samples. Standard starches exhibited distinctive Raman bands, which were similar to the spectral features in green banana before ripening. Moreover, these banana-derived Raman bands gradually weakened during 10 d of storage. Standard sugars (glucose, sucrose, and fructose) exhibited Raman bands in both solid and liquid states, whereas standard fibers exhibited broad spectra and no such bands. Although the sugar content increased, no sugar bands were observed in the banana fruit even after ripening. A correlation was found between the Raman bands and starch content obtained by chemical analysis. These results demonstrate that Raman spectroscopy can selectively provide information regarding starch in banana fruit and be applied as an analytical method for rapid starch quantification.
30	36095770	A taxonomic revision of Northeast Pacific softnose skates (Rajiformes: Arhynchobatidae: Bathyraja Ishiyama).	Softnose skates (Rajiformes: Arhynchobatidae: Bathyraja Ishiyama) are the most diverse skate genus, with 54 species, and are readily distinguishable from other genera in the family by their poorly calcified, flexible rostral cartilages. Six Bathyraja species are considered valid in the eastern North Pacific, including: B. abyssicola, B. aleutica, B. kincaidii, microtrachys, B. spinosissima, and B. trachura. Similar to other skate genera, eastern North Pacific Bathyraja lack a robust species-specific identification, which leads to issues with setting catch limits and creating management plans. This study identifies and formally redescribes the eastern North Pacific softnose skate species based on morphometric and meristic measurements and includes an Alaskan species, Bering Skate, B. interrupta due to its close morphological relationship to B. kincaidii. A lectotype for B. interrupta is designated. Multivariate tests determined that significant differences existed between the study species. Parsimonious phylogenetic trees showed that B kincaidii represents the basal condition, with B. abyssicola and B. aleutica being the most derived species in the study. The formerly synonymized species B. interrupta and B. kincaidii were shown to be separate, as were the previously synonymized species B. microtrachys and B. trachura. Improved Bathyraja species identification will hopefully assist fisheries managers in developing conservation policies easing the impacts of deep-sea fishing expansion.
31	36095597	Revision of the genus Centrophorus (Squaliformes: Centrophoridae): Part 3Redescription of Centrophorus uyato (Rafinesque) with a discussion of its complicated nomenclatural history.	Centrophorus uyato (Rafinesque, 1810) has a complicated nomenclatural history which has led to multiple scientific names being ascribed to this species. In the Mediterranean Sea, and elsewhere in its range, this species was previously referred to as C. granulosus (Bloch Schneider, 1801). The first paper in this revision series clarified that C. granulosus refers to a much larger species of gulper shark which attains at least 1.7 m length and is absent from the Mediterranean Sea. Further complicating the nomenclature of this species is the fact that the original description clearly refers to a Squalus species, and not a Centrophorus species. In this third part of the revision of the genus Centrophorus, this problematic species is redescribed. A detailed synonymy is provided and it is confirmed that C. machiquensis, C. bragancae and C. zeehaani are junior synonyms of this species. To preserve nomenclatural stability within the genus, the name Centrophorus uyato is retained for this species with a neotype from close to the original type locality off Italy being designated. Intraspecific variation within Centrophorus uyato is also discussed, particularly relating to denticle morphology and body morphology.
32	36094587	Pathology associated with Tripaphylus Richiardi, 1878 infection (Copepoda: Sphyriidae) in wild-caught Australian blackspot sharks, Carcharhinus coatesi (Whitley, 1939), off northern Australia.	Female specimens of the newly described mesoparasitic copepod Tripaphylus squidwardi (Sphyriidae), collected from the Australian blackspot shark, Carcharhinus coatesi, off northern Australia were examined histologically. The 'encapsulated' head of the copepod was found in the ventral musculature of the throat of the shark. The head of the copepod was surrounded by a tissue capsule of unknown origin. There were signs of chronic inflammation associated with the infection, although there appeared to be no effect on the health of the shark.
33	36088355	Sharkipedia: a curated open access database of shark and ray life history traits and abundance time-series.	A curated database of shark and ray biological data is increasingly necessary both to support fisheries management and conservation efforts, and to test the generality of hypotheses of vertebrate macroecology and macroevolution. Sharks and rays are one of the most charismatic, evolutionary distinct, and threatened lineages of vertebrates, comprising around 1,250 species. To accelerate shark and ray conservation and science, we developed Sharkipedia as a curated open-source database and research initiative to make all published biological traits and population trends accessible to everyone. Sharkipedia hosts information on 58 life history traits from 274 sources, for 170 species, from 39 families, and 12 orders related to length (n = 9 traits), age (8), growth (12), reproduction (19), demography (5), and allometric relationships (5), as well as 871 population time-series from 202 species. Sharkipedia relies on the backbone taxonomy of the IUCN Red List and the bibliography of Shark-References. Sharkipedia has profound potential to support the rapidly growing data demands of fisheries management, international trade regulation as well as anchoring vertebrate macroecology and macroevolution.
34	36087420	Ontogeny of the inner ear maculae in school sharks (Galeorhinus galeus).	Studies on the auditory system of fishes can provide fundamental information about the early evolution of vertebrate hearing. While there are limited data available on the auditory system of bony fishes, comparatively far less is known about auditory structures in elasmobranchs, despite their critical basal position within vertebrate evolution. Specifically, while there is a high degree of plasticity in the nervous system, little is known about how the different sensory epithelia within the inner ear vary throughout life in elasmobranchs. Using a combination of immunohistochemistry and fluorescence microscopy, we quantified macular area, number of sensory hair cells, hair cell density, and hair cell orientations in the saccule, lagena, utricle, and macula neglecta of school sharks (Galeorhinus galeus) of varying body size. In all maculae, macular area and the number of hair cells increased significantly throughout ontogeny, while hair cell density displayed a concurrent ontogenetic decrease (excluding the utricle). There were also significant differences in macular area, hair cell number, and hair cell density between the four maculae. However, hair cell orientation patterns did not vary between individuals and did not change with body growth. These findings represent one of the first comprehensive characterisations of the inner ear sensory epithelia in an elasmobranch, and reveal changes in morphology that may have implications for auditory capabilities through ontogeny.
35	36086896	Quantifying teleost discards in the shark fisheries of Western Australia.	Quantifying discards is essential for assessing the impact of fisheries on non-target species and the ecosystems in which these fisheries operate. In Western Australia (WA), fishers are required only to report catches of retained species. For the currently operating shark fisheries of WA, the authors quantified catch time series of discarded teleosts using data from at-sea observers collected since 1993. Sixty-two teleost species were observed in the catch of which 20 were routinely discarded. The most commonly discarded teleosts were western buffalo bream/silver drummer, Kyphosus cornelii/K. sydneyanus, and dusky morwong, Dactylophora nigricans. Annual discards peaked in the 1990s; nonetheless, current discard levels, 36.9 ± 2.1 (S.E.) t year
36	36083384	Loss of Myomixer Results in Defective Myoblast Fusion, Impaired Muscle Growth, and Severe Myopathy in Zebrafish.	The development and growth of fish skeletal muscles require myoblast fusion to generate multinucleated myofibers. While zebrafish fast-twitch muscle can fuse to generate multinucleated fibers, the slow-twitch muscle fibers remain mononucleated in zebrafish embryos and larvae. The mechanism underlying the fiber-type-specific control of fusion remains elusive. Recent genetic studies using mice identified a long-sought fusion factor named Myomixer. To understand whether Myomixer is involved in the fiber-type specific fusion, we analyzed the transcriptional regulation of myomixer expression and characterized the muscle growth phenotype upon genetic deletion of myomixer in zebrafish. The data revealed that overexpression of Sonic Hedgehog (Shh) drastically inhibited myomixer expression and blocked myoblast fusion, recapitulating the phenotype upon direct genetic deletion of myomixer from zebrafish. The fusion defect in myomixer mutant embryos could be faithfully rescued upon re-expression of zebrafish myomixer gene or its orthologs from shark or human. Interestingly, myomixer mutant fish survived to adult stage though were notably smaller than wildtype siblings. Severe myopathy accompanied by the uncontrolled adipose infiltration was observed in both fast and slow muscle tissues of adult myomixer mutants. Collectively, our data highlight an indispensable role of myomixer gene for cell fusion during both embryonic muscle development and post-larval muscle growth.
37	36076261	Unravelling the trophic interaction between a parasitic barnacle (Anelasma squalicola) and its host Southern lanternshark (Etmopterus granulosus) using stable isotopes.	The parasitic barnacle, 
